Laikas,Rinkinys,Diena,Uzduotis,Jores Atsakymas,Teisingas Atsakymas
2026-04-06 11:07,Rinkinys 2,Pirmadienis,DIENOS PLANAS,6/6,-
2026-04-06 11:07,Rinkinys 2,Pirmadienis,DIENOS PLANAS,6/6,-
2026-04-06 11:07,Rinkinys 2,Pirmadienis,DIENOS PLANAS,6/6,-
2026-04-07 19:13,Rinkinys 2,Antradienis,DIENOS PLANAS,6/6,-
2026-04-09 18:09,Rinkinys 2,Trečiadienis,DIENOS PLANAS,4/4,-
2026-04-09 18:18,Rinkinys 2,Ketvirtadienis,DIENOS PLANAS,6/6,-
2026-04-10 21:17,Rinkinys 2,Penktadienis,DIENOS PLANAS,4/4,-
2026-04-12 10:15,Rinkinys 2,Sekmadienis,DIENOS PLANAS,15/15,-
2026-04-13 20:14,Rinkinys 3,Pirmadienis,DIENOS PLANAS,6/6,-
2026-04-14 18:50,Rinkinys 3,Antradienis,DIENOS PLANAS,6/6,-
2026-04-15 20:42,Rinkinys 3,Trečiadienis,DIENOS PLANAS,4/4,-
2026-04-18 20:16,Rinkinys 3,Šeštadienis,DIENOS PLANAS,3/3,-
2026-04-18 20:28,Rinkinys 3,Sekmadienis,DIENOS PLANAS,15/15,-
2026-04-22 19:43,Rinkinys 4,Trečiadienis,DIENOS PLANAS,4/4,-
2026-04-22 19:54,Rinkinys 4,Antradienis,DIENOS PLANAS,6/6,-
2026-04-23 19:05,Rinkinys 4,Ketvirtadienis,DIENOS PLANAS,6/6,-
2026-04-24 19:31,Rinkinys 4,Penktadienis,DIENOS PLANAS,4/4,-
2026-04-24 19:31,Rinkinys 4,Penktadienis,DIENOS PLANAS,4/4,-
2026-04-24 19:37,Rinkinys 4,Šeštadienis,DIENOS PLANAS,3/3,-
2026-04-24 19:37,Rinkinys 4,Šeštadienis,DIENOS PLANAS,3/3,-
